"Gen";"Df";"predictor";"Sum.Sq";"Mean.Sq";"F.value";"Pr..F.";"p"
"NES";46;"Residuals";2,78169874306863;0,0604717118058398;NA;NA;NA
"NT5E";2;"Run";0,34294380217684;0,17147190108842;4,1940761700734;0,0212241890856313;"0.021"
"NT5E";1;"Treat";0,14235644882612;0,14235644882612;3,48193369227317;0,0684257761806617;"0.068"
"NT5E";2;"Conc";0,142749708470449;0,0713748542352246;1,74577626649195;0,185872586219884;"0.186"
"NT5E";2;"Treat:Conc";0,783535230679261;0,39176761533963;9,58234678260875;0,000332005982749797;"<0.001"
"NT5E";46;"Residuals";1,88067815895897;0,0408843078034558;NA;NA;NA
"POU3F2";2;"Run";1,0998346983981;0,549917349199051;2,7413439202966;0,0750278040614265;"0.075"
"POU3F2";1;"Treat";2,73102424725811;2,73102424725811;13,6141853449575;0,000592471829378849;"0.001"
"POU3F2";2;"Conc";0,564956386683154;0,282478193341577;1,40815684222576;0,254938581853737;"0.255"
"POU3F2";2;"Treat:Conc";2,8935661543534;1,4467830771767;7,21222925296497;0,00188597739858581;"0.002"
"POU3F2";46;"Residuals";9,2276630727966;0,200601371147752;NA;NA;NA
"SOX2";2;"Run";1,58328670709979;0,791643353549896;0,533499279358996;0,591378411194298;"0.591"
"SOX2";1;"Treat";0,69217657183086;0,69217657183086;0,466467255241939;0,499244656565307;"0.499"
"SOX2";2;"Conc";1,37477994304033;0,687389971520167;0,463241499849838;0,633153547846695;"0.633"
"SOX2";2;"Treat:Conc";0,0587848966464121;0,029392448323206;0,0198079727805592;0,980398221033964;"0.98"
"SOX2";34;"Residuals";50,4515658447302;1,48386958366853;NA;NA;NA
"THY1";2;"Run";2,12444044788002;1,06222022394001;7,19691193743391;0,00190810373609931;"0.002"
"THY1";1;"Treat";68,7283774465509;68,7283774465509;465,658691990298;1,0584000301667e-25;"<0.001"
"THY1";2;"Conc";2,01993657821765;1,00996828910883;6,84288688211563;0,00250265552103034;"0.003"
"THY1";2;"Treat:Conc";1,7878208300464;0,8939104150232;6,05655436780717;0,00462514799914962;"0.005"
"THY1";46;"Residuals";6,78931890872385;0,147593889320084;NA;NA;NA
"TUBB3";2;"Run";0,929617860970959;0,46480893048548;2,5878698532786;0,0860904874420782;"0.086"
"TUBB3";1;"Treat";14,9344450818917;14,9344450818917;83,1490052536326;7,03523874222231e-12;"<0.001"
"TUBB3";2;"Conc";3,00643473595582;1,50321736797791;8,36931189220419;0,000794557637703538;"0.001"
"TUBB3";2;"Treat:Conc";0,237580456445004;0,118790228222502;0,661376385690381;0,52097890237515;"0.521"
"TUBB3";46;"Residuals";8,26208890499032;0,179610628369355;NA;NA;NA
