"Gen";"Treatment";"delta_ct";"SE";"df";"lower.CL";"upper.CL";"sig_star"
"MAP2";"7d_NIM-2";0,000926556561679434;8,87153012207996e-05;52;0,000764593295578833;0,00112282839380809;"*"
"MAP2";"30d_NIM-2";0,00032815538159847;3,14199960690656e-05;52;0,000270793403290485;0,00039766830788164;"*"
"MAP2";"30d_NIM-2_1d_MAT";5,44593756299273e-05;5,21433888995242e-06;52;4,49398074658046e-05;6,59954672983024e-05;"*"
"MYL2";"Control";7,9278136368206e-06;3,57586278568509e-06;38;3,18123208798056e-06;1,97565683112595e-05;""
"MYL2";"NIM-1";4,97941569709519e-06;2,24597954762718e-06;38;1,9981141990298e-06;1,24089907856704e-05;""
"MYL2";"7d_NIM-2";2,11472622724824e-06;9,53853251898831e-07;38;8,48586412295407e-07;5,27001958953685e-06;""
"MYL2";"30d_NIM-2";2,5034782448957e-06;1,1292009500724e-06;38;1,00458281300081e-06;6,2388120138593e-06;""
"MYL2";"30d_NIM-2_1d_MAT";4,26114559520027e-06;1,92200178464001e-06;38;1,70989048431322e-06;1,06190203115772e-05;""
"MYT1L";"Control";2,59729454856451e-07;1,33750770055455e-07;30;9,07354431435981e-08;7,4347341438855e-07;""
"MYT1L";"NIM-1";1,97710150046171e-07;1,01813191850228e-07;30;6,90692477999516e-08;5,65943667788237e-07;""
"MYT1L";"7d_NIM-2";1,80206773615378e-07;1,17974967153029e-07;30;4,73279851585382e-08;6,86158118670841e-07;""
"MYT1L";"30d_NIM-2";1,34741562672504e-07;8,5503327902722e-08;30;3,68696265961683e-08;4,92418567464285e-07;""
"MYT1L";"30d_NIM-2_1d_MAT";4,02227656201525e-08;2,25259263192965e-08;30;1,28160818732812e-08;1,2623755763504e-07;""
"NES";"Control";0,0222765042709249;0,00178199541910942;52;0,0189729069471857;0,0261553300142099;""
"NES";"NIM-1";0,0126256370949412;0,00100998016533;52;0,0107532597950706;0,0148240361612233;"*"
"NES";"7d_NIM-2";0,000432253911606931;3,45778889276194e-05;52;0,000368150816785887;0,0005075187547612;"*"
"NES";"30d_NIM-2";0,00064354709431768;5,14801586509278e-05;52;0,000548109298843508;0,000755602693620739;"*"
"NES";"30d_NIM-2_1d_MAT";0,00160764731647669;0,000128602769925807;52;0,00136923381552354;0,00188757381308647;"*"
"NT5E";"Control";0,180908654690841;0,0147872893223843;52;0,153541511853495;0,213153699914574;""
"NT5E";"NIM-1";0,0422716235269121;0,00345523948695311;52;0,0358769401934669;0,0498060912097062;"*"
"NT5E";"7d_NIM-2";0,111942775872594;0,00915008857485403;52;0,0950085172980133;0,1318953860816;"*"
"NT5E";"30d_NIM-2";0,139338579567293;0,0113893936879514;52;0,118259992606998;0,164174200655937;""
"NT5E";"30d_NIM-2_1d_MAT";0,0569168645817344;0,00465232658620665;52;0,0483067073423027;0,0670616908509225;"*"
"POU3F2";"Control";5,75784779362826e-05;6,49072598174382e-06;52;4,59219353180296e-05;7,21938458930184e-05;""
"POU3F2";"NIM-1";4,71503601223401e-05;5,31518161757107e-06;52;3,7604950067558e-05;5,91187185642426e-05;""
"POU3F2";"7d_NIM-2";1,20516932378421e-05;1,35856731936249e-06;52;9,61187404004256e-06;1,51108211878322e-05;"*"
"POU3F2";"30d_NIM-2";2,67306844331938e-05;3,01330556449105e-06;52;2,13191596156151e-05;3,35158375447235e-05;"*"
"POU3F2";"30d_NIM-2_1d_MAT";2,90738464956913e-05;3,27744632374002e-06;52;2,31879574812473e-05;3,64537735045715e-05;"*"
"RBFOX3";"Control";9,10263948686916e-06;3,78238802704976e-06;35;3,91572603008933e-06;2,11603276100548e-05;""
"RBFOX3";"NIM-1";1,38200895334217e-05;5,74261358580389e-06;35;5,94505411339731e-06;3,21266839743948e-05;""
"RBFOX3";"7d_NIM-2";3,23053150441944e-06;1,66402592156222e-06;35;1,1353615979731e-06;9,19207926327434e-06;""
"RBFOX3";"30d_NIM-2";2,02364231306036e-06;8,40877029898e-07;35;8,70519907140263e-07;4,70423269774629e-06;""
"RBFOX3";"30d_NIM-2_1d_MAT";2,52588739838807e-06;1,04957317788106e-06;35;1,08657308127059e-06;5,87176993366615e-06;""
"SMYD1";"Control";9,67412862464224e-07;3,91167801438734e-07;35;4,25711950463362e-07;2,19840585974288e-06;""
"SMYD1";"NIM-1";9,20826859678801e-07;3,72331020376123e-07;35;4,05211687463388e-07;2,09254108837257e-06;""
"SMYD1";"7d_NIM-2";2,89242986280427e-06;1,49087338272482e-06;35;1,01582243845218e-06;8,2358394484665e-06;""
"SMYD1";"30d_NIM-2";3,715813898034e-07;1,50246788051487e-07;35;1,63515128180283e-07;8,44403394259609e-07;""
"SMYD1";"30d_NIM-2_1d_MAT";9,02718985452464e-07;3,65009206056016e-07;35;3,97243281465557e-07;2,05139169047717e-06;""
"SOX2";"Control";5,4055365753364e-06;2,42305524607947e-06;40;2,18467679748211e-06;1,33748963237839e-05;""
"SOX2";"NIM-1";1,3674721414375e-06;5,704420766364e-07;40;5,88528867113575e-07;3,17738034971663e-06;""
"SOX2";"7d_NIM-2";1,48599001414232e-06;5,80123056882389e-07;40;6,75071626297558e-07;3,27101041742997e-06;""
"SOX2";"30d_NIM-2";1,61180226238942e-06;5,43019012366124e-07;40;8,15828696141287e-07;3,18437748675826e-06;""
"SOX2";"30d_NIM-2_1d_MAT";4,84399387727864e-06;1,63195004283465e-06;40;2,45183252389667e-06;9,57009765325305e-06;""
"TAGLN";"Control";0,548412489856609;0,122406920822722;37;0,348897064666236;0,862020032522877;""
"TAGLN";"NIM-1";0,104988563936798;0,0249277488832914;37;0,0648947346389938;0,169853511518757;"*"
"TAGLN";"7d_NIM-2";0,0185670559682613;0,00414420931662634;37;0,0118122607464937;0,0291845544834318;"*"
"TAGLN";"30d_NIM-2";0,00670237856525739;0,00149598621026279;37;0,00426401705094577;0,010535107598141;"*"
"TAGLN";"30d_NIM-2_1d_MAT";0,00982041698533424;0,00219193951013812;37;0,00624769625665789;0,015436184123559;"*"
"THY1";"Control";0,427550478661875;0,0265573088553802;52;0,377446728742969;0,484305195630613;""
"THY1";"NIM-1";0,136313466595107;0,00846711444422626;52;0,12033917541378;0,154408247449629;"*"
"THY1";"7d_NIM-2";0,0208689235894459;0,0012962737194888;52;0,0184233379082537;0,0236391458459339;"*"
"THY1";"30d_NIM-2";0,00212498248380112;0,000131993341023036;52;0,00187596021329952;0,00240706094108437;"*"
"THY1";"30d_NIM-2_1d_MAT";0,00181078795692539;0,000112477139995677;52;0,00159858548849661;0,00205115900809892;"*"
"TUBB3";"Control";0,0946775816876475;0,00690154128825615;52;0,0817938715949337;0,109590661249203;""
"TUBB3";"NIM-1";0,0657210800530347;0,00479075129940697;52;0,0567777660468024;0,0760730945239549;"*"
"TUBB3";"7d_NIM-2";0,217763389565528;0,0158739059169821;52;0,188130182527932;0,252064252518478;"*"
"TUBB3";"30d_NIM-2";0,139177702290781;0,0101453864963871;52;0,12023842294163;0,161100190280646;"*"
"TUBB3";"30d_NIM-2_1d_MAT";0,0625722445528853;0,00456121630467185;52;0,0540574235752077;0,0724282721861304;"*"
