"Gene";"contrast";"ratio";"SE";"df";"t.ratio";"p.value";"p"
"MYT1L";"30d_NIM-2_1d_MAT / Control";0,154864089798298;0,117206642991084;30;-2,46448184896724;0,0664427656780678;0,066
"NES";"NIM-1 / Control";0,566769226508309;0,0641181233000612;52;-5,01906930486449;2,53428286357549e-05;0
"NES";"7d_NIM-2 / Control";0,0194040279547408;0,00219516127328354;52;-34,8475565912017;0;0
"NES";"30d_NIM-2 / Control";0,028889052182107;0,00326819404300717;52;-31,3296125440059;0;0
"NES";"30d_NIM-2_1d_MAT / Control";0,0721678454089843;0,00816428732156151;52;-23,2368101935946;0;0
"NT5E";"NIM-1 / Control";0,233662804022014;0,0270105736624193;52;-12,5771779779927;0;0
"NT5E";"7d_NIM-2 / Control";0,618780655153817;0,0715288020995317;52;-4,15241752136164;0,000474261302805479;0
"NT5E";"30d_NIM-2 / Control";0,770215111075876;0,089034076607518;52;-2,25859533092286;0,0937391093778526;0,094
"NT5E";"30d_NIM-2_1d_MAT / Control";0,314616592992751;0,0363685383988181;52;-10,0037784339428;1,02584607475364e-13;0
"POU3F2";"NIM-1 / Control";0,818888616238128;0,130548812672044;52;-1,25332311738706;0,527421111929752;0,527
"POU3F2";"7d_NIM-2 / Control";0,209308993043872;0,0333684459419967;52;-9,81009058915019;2,00728322852228e-13;0
"POU3F2";"30d_NIM-2 / Control";0,464247847308058;0,0740112929277735;52;-4,81324409187642;5,17339030201569e-05;0
"POU3F2";"30d_NIM-2_1d_MAT / Control";0,504942949826929;0,0804989851609512;52;-4,28617179289891;0,000306134502952027;0
"RBFOX3";"NIM-1 / Control";1,51825078356202;0,892189790469793;35;0,71056527568855;0,847604623910373;0,848
"RBFOX3";"7d_NIM-2 / Control";0,354900521884842;0,234874345275555;35;-1,56529547428474;0,349632737795922;0,35
"RBFOX3";"30d_NIM-2 / Control";0,222313793266176;0,130641194972643;35;-2,55880667353862;0,0515837539535942;0,052
"RBFOX3";"30d_NIM-2_1d_MAT / Control";0,277489556961114;0,163064858825135;35;-2,18154812185457;0,116736157240273;0,117
"SMYD1";"NIM-1 / Control";0,951844755643667;0,544292513712157;35;-0,0863078335196736;0,998930514036504;0,999
"SMYD1";"7d_NIM-2 / Control";2,98986087019412;1,95869527201077;35;1,67181488789192;0,296378357202241;0,296
"SMYD1";"30d_NIM-2 / Control";0,384098045644024;0,219638433196113;35;-1,67332767840834;0,295660195205852;0,296
"SMYD1";"30d_NIM-2_1d_MAT / Control";0,933126920757524;0,533589111354764;35;-0,121039755309588;0,997611264178046;0,998
"SOX2";"NIM-1 / Control";0,252976207334681;0,153178513649474;40;-2,26993739769107;0,095024806530852;0,095
"SOX2";"7d_NIM-2 / Control";0,274901481736778;0,163985248671119;40;-2,16477986790424;0,118449545659104;0,118
"SOX2";"30d_NIM-2 / Control";0,298176182868417;0,167200748922416;40;-2,15797046012876;0,120116441718129;0,12
"SOX2";"30d_NIM-2_1d_MAT / Control";0,89611712172666;0,502493030910577;40;-0,195604408860921;0,992528740765122;0,993
"TAGLN";"NIM-1 / Control";0,191440869561976;0,0623855496175054;37;-5,0730579284016;4,39241117460298e-05;0
"TAGLN";"7d_NIM-2 / Control";0,0338560049445919;0,0106868408894522;37;-10,7257334897128;2,43272069155864e-12;0
"TAGLN";"30d_NIM-2 / Control";0,0122214185293443;0,00385776040263039;37;-13,953701042644;2,22044604925031e-16;0
"TAGLN";"30d_NIM-2_1d_MAT / Control";0,0179069900247931;0,00565244344443956;37;-12,743518197853;4,21884749357559e-15;0
"THY1";"NIM-1 / Control";0,318824263796251;0,0280067703787082;52;-13,0130273921805;0;0
"THY1";"7d_NIM-2 / Control";0,0488104320564916;0,00428769926860181;52;-34,3770122419223;0;0
"THY1";"30d_NIM-2 / Control";0,00497013239337675;0,000436595869572956;52;-60,3833403662938;0;0
"THY1";"30d_NIM-2_1d_MAT / Control";0,0042352612084372;0,000372041910318199;52;-62,2047696608707;0;0
"TUBB3";"NIM-1 / Control";0,694156725188189;0,0715601871193739;52;-3,5411747710022;0,00321384340311603;0,003
"TUBB3";"7d_NIM-2 / Control";2,30005230049026;0,237110967934233;52;8,07970572631831;3,77398778894644e-10;0
"TUBB3";"30d_NIM-2 / Control";1,47001750372063;0,151543194523519;52;3,73728413402701;0,00176925448127363;0,002
"TUBB3";"30d_NIM-2_1d_MAT / Control";0,660898213046025;0,068131587689526;52;-4,0174403638387;0,000732984171450957;0,001
