"Gene";"contrast";"ratio";"SE";"df";"t.ratio";"p.value";"p"
"GJC1";"AC_0 / AC_50";2,13284299758498;0,263952127855464;46;6,12055821246111;1,90954976016527e-07;0
"GJC1";"AC_0 / AC_100";2,08332636560485;0,257824147319537;46;5,93074924193932;3,67722059240064e-07;0
"GJD2";"MSC_0 / MSC_50";1,66802613012464;1,455750189932;34;0,58624790986173;0,561581089170797;0,562
"GJD2";"MSC_0 / MSC_100";1,18510878708215;1,06805237381834;34;0,188448104902215;0,851645705855923;0,852
"GJD2";"MSC_0 / AC_0";0,483944877473317;0,416718562431269;34;-0,842870009750531;0,405191754374302;0,405
"GJD2";"MSC_0 / AC_50";1,58132138523065;1,3299584528314;34;0,544872382173038;0,589397755059615;0,589
"GJD2";"MSC_0 / AC_100";1,88883093480431;1,6052737520091;34;0,748294365412662;0,459427838990544;0,459
"GJD2";"AC_0 / AC_50";3,26756508610393;2,18475067119336;34;1,77088600220716;0,0855451450068458;0,086
"GJD2";"AC_0 / AC_100";3,90298776312277;2,6941925969988;34;1,97271113653447;0,0567044618761417;0,057
"MAP2";"MSC_0 / MSC_50";1,46634258655898;0,301341456278719;46;1,86258410122653;0,06891437130819;0,069
"MAP2";"MSC_0 / MSC_100";1,80250091105401;0,370423838507866;46;2,86695546079316;0,00623296814301105;0,006
"MAP2";"MSC_0 / AC_0";0,918064039594091;0,188667203138125;46;-0,415989517389718;0,679352100380303;0,679
"MAP2";"MSC_0 / AC_50";1,33073405745783;0,273473158639589;46;1,39037992899834;0,171104489162465;0,171
"MAP2";"MSC_0 / AC_100";1,81503830503221;0,373000341839328;46;2,90068437224527;0,00569392204606386;0,006
"MAP2";"AC_0 / AC_50";1,44950025277778;0,297880264170353;46;1,80636944638806;0,0774052580703022;0,077
"MAP2";"AC_0 / AC_100";1,97702799233342;0,406290112402447;46;3,31667388963498;0,00178504039458076;0,002
"MYT1L";"MSC_0 / MSC_50";1,03403957622322;0,790573225047636;33;0,043781470936924;0,965342448566254;0,965
"MYT1L";"MSC_0 / MSC_100";0,399022262364995;0,305071801967084;33;-1,20167429486857;0,23804290073547;0,238
"MYT1L";"MSC_0 / AC_0";0,426558052694726;0,344186458154559;33;-1,05591128275357;0,298678078815463;0,299
"MYT1L";"MSC_0 / AC_50";2,01675631230778;1,54190765867955;33;0,917522689756181;0,36552625693889;0,366
"MYT1L";"MSC_0 / AC_100";2,9606563913702;2,43820728608614;33;1,31798843585901;0,196583780093235;0,197
"MYT1L";"AC_0 / AC_50";4,72797617948408;3,34508850273972;33;2,19572604689932;0,0352488057816823;0,035
"MYT1L";"AC_0 / AC_100";6,94080529641072;5,27942867183745;33;2,5471013240863;0,0157085719584058;0,016
"NES";"MSC_0 / MSC_50";1,15757936765301;0,134190154171101;46;1,26231191669432;0,21319898149855;0,213
"NES";"MSC_0 / MSC_100";1,19563561502602;0,138601751202681;46;1,54134926945854;0,130083621494335;0,13
"NES";"MSC_0 / AC_0";34,3496202204654;3,98191343237959;46;30,5080857476496;3,60338153829683e-32;0
"NES";"MSC_0 / AC_50";58,4401850714538;6,77456567010679;46;35,0922706807557;7,46811143877452e-35;0
"NES";"MSC_0 / AC_100";55,4156764692839;6,42395534742985;46;34,6338526004362;1,33819895115935e-34;0
"NES";"AC_0 / AC_50";1,70133424172868;0,197223888550317;46;4,58418493310609;3,49567917334938e-05;0
"NES";"AC_0 / AC_100";1,61328352725913;0,187016779405394;46;4,12576685278654;0,000153377280585177;0
"NT5E";"MSC_0 / MSC_50";0,876605721503151;0,0835557551672305;46;-1,3816784804724;0,17374451064438;0,174
"NT5E";"MSC_0 / MSC_100";0,844791173727184;0,0805232760269318;46;-1,76951805591021;0,0834362660510061;0,083
"NT5E";"MSC_0 / AC_0";0,788218036156469;0,0751308731302279;46;-2,49671725587467;0,016178521044104;0,016
"NT5E";"MSC_0 / AC_50";1,14693034612857;0,109322388440104;46;1,43823842329764;0,157135540471701;0,157
"NT5E";"MSC_0 / AC_100";1,11470863669577;0,106251099719995;46;1,13927874990837;0,260485025619107;0,26
"NT5E";"AC_0 / AC_50";1,45509274530339;0,13869561901068;46;3,9349556791723;0,000279147069281234;0
"NT5E";"AC_0 / AC_100";1,41421356219067;0,134799122636294;46;3,63599600578303;0,000696776919619973;0,001
"POU3F2";"MSC_0 / MSC_50";1,64464675041126;0,34724285873933;46;2,35643116395485;0,0227664357036403;0,023
"POU3F2";"MSC_0 / MSC_100";1,36078996864559;0,287310693763348;46;1,45909046220818;0,151335541032859;0,151
"POU3F2";"MSC_0 / AC_0";3,01281340340096;0,636111030398175;46;5,22354494430088;4,13642143078532e-06;0
"POU3F2";"MSC_0 / AC_50";1,93634170630145;0,408829938358599;46;3,1297500456904;0,0030358346888461;0,003
"POU3F2";"MSC_0 / AC_100";1,47881784431962;0,312230535638045;46;1,85304473989467;0,0702969817377751;0,07
"POU3F2";"AC_0 / AC_50";0,642702168051842;0,135697065705131;46;-2,09379489861048;0,0418183107944599;0,042
"POU3F2";"AC_0 / AC_100";0,490842825729029;0,103634209568236;46;-3,37050020440621;0,00152765035524879;0,002
"SOX2";"MSC_0 / MSC_50";1,42898758761023;1,00499915241059;34;0,507562903038615;0,615036771782662;0,615
