"Treatment";"coupling_rate_injected";"lower";"upper";"sig_star"
"Control";1,99459323569596;1,00678622953323;3,95013797503378;""
"NIM-1";2,19073148867383;1,03259123361349;4,64593403017658;""
"7d_NIM-2";0,376009519945995;0,189188809072203;0,745855305680794;"*"
"30d_NIM-2";0,0677517642681365;0,0273547602053719;0,164692796277337;"*"
"30d_NIM-2_1d_MAT";0,158512572242185;0,0767957691727359;0,325509879168354;"*"
