"Gen";"Run";"Behandlung";"Repetition";"delta_ct"
"GJD2";12;"AC0";3;6,35651156559687e-06
"GJD2";12;"AC50";1;1,11483484250346e-07
"GJD2";12;"AC50";2;3,99122053593852e-07
"GJD2";12;"AC50";3;1,15414940832006e-07
"GJD2";12;"AC100";1;NA
"GJD2";12;"AC100";2;1,05e-07
"GJD2";12;"AC100";3;7,06242347853931e-07
"GJA4";10;"MSC0";1;0,0002978073
"GJA4";10;"MSC0";2;0,0002539209
"GJA4";10;"MSC0";3;0,0004068167
"GJA4";10;"MSC50";1;0,000109256
"GJA4";10;"MSC50";2;0,0001837459
"GJA4";10;"MSC50";3;0,000258061
"GJA4";10;"MSC100";1;0,0003590984
"GJA4";10;"MSC100";2;0,0002304381
"GJA4";10;"MSC100";3;0,0003848721
"GJA4";10;"AC0";1;0,0002262178
"GJA4";10;"AC0";2;0,0003405136
"GJA4";10;"AC0";3;0,0003047682
"GJA4";10;"AC50";1;0,0001618188
"GJA4";10;"AC50";2;0,0001686905
"GJA4";10;"AC50";3;0,0003444702
"GJA4";10;"AC100";1;0,0002086443
"GJA4";10;"AC100";2;0,000200145
"GJA4";10;"AC100";3;0,0001867419
"GJA4";11;"MSC0";1;0,0004058779
"GJA4";11;"MSC0";2;0,0004472389
"GJA4";11;"MSC0";3;0,000408701
"GJA4";11;"MSC50";1;0,0001884758
"GJA4";11;"MSC50";2;0,0002272656
"GJA4";11;"MSC50";3;9,68872712382934e-05
"GJA4";11;"MSC100";1;0,0002677795
"GJA4";11;"MSC100";2;0,0002772228
"GJA4";11;"MSC100";3;0,0002145101
"GJA4";11;"AC0";1;0,0001992223
"GJA4";11;"AC0";2;0,0001652189
"GJA4";11;"AC0";3;0,0001897867
"GJA4";11;"AC50";1;0,000266545
"GJA4";11;"AC50";2;0,0003169772
"GJA4";11;"AC50";3;0,0003615961
"GJA4";11;"AC100";1;0,0001170977
"GJA4";11;"AC100";2;0,0002690198
"GJA4";11;"AC100";3;0,000153444
"GJA4";12;"MSC0";1;0,0004705601
"GJA4";12;"MSC0";2;0,0004330036
"GJA4";12;"MSC0";3;0,0006081297
"GJA4";12;"MSC50";1;0,0004340052
"GJA4";12;"MSC50";2;0,0003476685
"GJA4";12;"MSC50";3;0,000541782
"GJA4";12;"MSC100";1;0,0004804476
"GJA4";12;"MSC100";2;0,0006295753
"GJA4";12;"MSC100";3;0,0004905428
"GJA4";12;"AC0";1;0,0003615961
"GJA4";12;"AC0";2;0,0002402238
"GJA4";12;"AC0";3;0,0002647038
"GJA4";12;"AC50";1;0,0002696421
"GJA4";12;"AC50";2;0,000327398
"GJA4";12;"AC50";3;0,0003033631
"GJA4";12;"AC100";1;0,0006295753
"GJA4";12;"AC100";2;0,0005713517
"GJA4";12;"AC100";3;0,0003822136
"GJA5";13;"MSC0";1;0,0002810926
"GJA5";13;"MSC0";2;0,000370904
"GJA5";13;"MSC0";3;0,0003118918
"GJA5";13;"MSC50";1;0,000185881
"GJA5";13;"MSC50";2;0,0002062478
"GJA5";13;"MSC50";3;0,0001722351
"GJA5";13;"MSC100";1;0,000205297
"GJA5";13;"MSC100";2;0,0002293757
"GJA5";13;"MSC100";3;0,000205297
"GJA5";13;"AC0";1;5,90349194924313e-06
"GJA5";13;"AC0";2;9,19958364632232e-06
"GJA5";13;"AC0";3;3,12e-06
"GJA5";13;"AC50";1;8,1017593686093e-06
"GJA5";13;"AC50";2;1,093e-06
"GJA5";13;"AC50";3;3,94010816631084e-06
"GJA5";13;"AC100";1;5,94455398300553e-06
"GJA5";13;"AC100";2;2,32888673242273e-05
"GJA5";13;"AC100";3;1,19718032515984e-05
"GJA5";14;"MSC0";1;0,0002715176
"GJA5";14;"MSC0";2;0,000251585
"GJA5";14;"MSC0";3;0,0002331156
"GJA5";14;"MSC50";1;0,0001302285
"GJA5";14;"MSC50";2;0,0001614453
"GJA5";14;"MSC50";3;0,000163699
"GJA5";14;"MSC100";1;0,0003118918
"GJA5";14;"MSC100";2;0,0002830478
"GJA5";14;"MSC100";3;0,0003413013
"GJA5";14;"AC0";1;5,43232038725689e-06
"GJA5";14;"AC0";2;1,65822580341501e-05
"GJA5";14;"AC0";3;7,0204746294012e-06
"GJA5";14;"AC50";1;2,5573337849974e-05
"GJA5";14;"AC50";2;1,82088583836628e-05
"GJA5";14;"AC50";3;1,34223796985235e-05
"GJA5";14;"AC100";1;2,00412682476563e-05
"GJA5";14;"AC100";2;6,52013530170364e-06
"GJA5";14;"AC100";3;1,3131e-05
"GJA5";15;"MSC0";1;0,0005101939
"GJA5";15;"MSC0";2;0,0006368907
"GJA5";15;"MSC0";3;0,0004566364
"GJA5";15;"MSC50";1;0,0001198347
"GJA5";15;"MSC50";2;0,000129329
"GJA5";15;"MSC50";3;0,000153799
"GJA5";15;"MSC100";1;0,0002604571
"GJA5";15;"MSC100";2;0,0002130284
"GJA5";15;"MSC100";3;0,0002331156
"GJA5";15;"AC0";1;4,33582684060356e-05
"GJA5";15;"AC0";2;1,92693397703803e-05
"GJA5";15;"AC0";3;1,98110746484616e-05
"GJA5";15;"AC50";1;3,32856860214548e-06
"GJA5";15;"AC50";2;9,285e-06
"GJA5";15;"AC50";3;9,09391741579885e-06
"GJA5";15;"AC100";1;2,34508542066652e-05
"GJA5";15;"AC100";2;2,28095893651571e-05
"GJA5";15;"AC100";3;3,03067778148509e-05
"GJA1";13;"MSC0";1;0,4976948396
"GJA1";13;"MSC0";2;0,6042985282
"GJA1";13;"MSC0";3;0,6751749731
"GJA1";13;"MSC50";1;0,2786771591
"GJA1";13;"MSC50";2;0,3913867081
"GJA1";13;"MSC50";3;0,3780546401
"GJA1";13;"MSC100";1;0,4175439597
"GJA1";13;"MSC100";2;0,3056600694
"GJA1";13;"MSC100";3;0,3685673043
"GJA1";13;"AC0";1;0,0994420605
"GJA1";13;"AC0";2;0,0877778047
"GJA1";13;"AC0";3;0,0947322854
"GJA1";13;"AC50";1;0,0573790012
"GJA1";13;"AC50";2;0,0546614169
"GJA1";13;"AC50";3;0,040855289
"GJA1";13;"AC100";1;0,0547878576
"GJA1";13;"AC100";2;0,0544094102
"GJA1";13;"AC100";3;0,0717936472
"GJA1";14;"MSC0";1;0,7491535384
"GJA1";14;"MSC0";2;0,6521760349
"GJA1";14;"MSC0";3;0,5446243281
"GJA1";14;"MSC50";1;0,4243519857
"GJA1";14;"MSC50";2;0,4976948396
"GJA1";14;"MSC50";3;0,4942570102
"GJA1";14;"MSC100";1;0,3063671106
"GJA1";14;"MSC100";2;0,5224385764
"GJA1";14;"MSC100";3;0,5152460102
"GJA1";14;"AC0";1;0,1560413186
"GJA1";14;"AC0";2;0,1051120519
"GJA1";14;"AC0";3;0,0967228121
"GJA1";14;"AC50";1;0,1122665466
"GJA1";14;"AC50";2;0,0924617193
"GJA1";14;"AC50";3;0,0950611721
"GJA1";14;"AC100";1;0,099672086
"GJA1";14;"AC100";2;0,0949514165
"GJA1";14;"AC100";3;0,0936441923
"GJA1";15;"MSC0";1;0,2242738522
"GJA1";15;"MSC0";2;0,2979894859
"GJA1";15;"MSC0";3;0,2704311665
"GJA1";15;"MSC50";1;0,4014614409
"GJA1";15;"MSC50";2;0,4741230156
"GJA1";15;"MSC50";3;0,4611580968
"GJA1";15;"MSC100";1;0,2667080607
"GJA1";15;"MSC100";2;0,2959311221
"GJA1";15;"MSC100";3;0,2305790484
"GJA1";15;"AC0";1;0,1139653111
"GJA1";15;"AC0";2;0,1422663793
"GJA1";15;"AC0";3;0,15247733
"GJA1";15;"AC50";1;0,0803996668
"GJA1";15;"AC50";2;0,1010634565
"GJA1";15;"AC50";3;0,1017664085
"GJA1";15;"AC100";1;0,1339716828
"GJA1";15;"AC100";2;0,2016604398
"GJA1";15;"AC100";3;0,1476240827
"GJC1";13;"MSC0";1;0,0041385277
"GJC1";13;"MSC0";2;0,0060591592
"GJC1";13;"MSC0";3;0,0057721853
"GJC1";13;"MSC50";1;0,0059895638
"GJC1";13;"MSC50";2;0,0051424325
"GJC1";13;"MSC50";3;0,0033927402
"GJC1";13;"MSC100";1;0,0063457218
"GJC1";13;"MSC100";2;0,0043342558
"GJC1";13;"MSC100";3;0,0050833666
"GJC1";13;"AC0";1;0,0015323908
"GJC1";13;"AC0";2;0,0014904875
"GJC1";13;"AC0";3;0,0015112939
"GJC1";13;"AC50";1;0,0007231922
"GJC1";13;"AC50";2;0,0007804894
"GJC1";13;"AC50";3;0,0007697442
"GJC1";13;"AC100";1;0,000553166
"GJC1";13;"AC100";2;0,0009238844
"GJC1";13;"AC100";3;0,0008801274
"GJC1";14;"MSC0";1;0,0036027976
"GJC1";14;"MSC0";2;0,0059344635
"GJC1";14;"MSC0";3;0,0054230994
"GJC1";14;"MSC50";1;0,0037040861
"GJC1";14;"MSC50";2;0,004225487
"GJC1";14;"MSC50";3;0,0041673134
"GJC1";14;"MSC100";1;0,006912069
"GJC1";14;"MSC100";2;0,0044974823
"GJC1";14;"MSC100";3;0,0054608201
"GJC1";14;"AC0";1;0,0023879693
"GJC1";14;"AC0";2;0,0026313156
"GJC1";14;"AC0";3;0,0025771639
"GJC1";14;"AC50";1;0,000889326
"GJC1";14;"AC50";2;0,0010215673
"GJC1";14;"AC50";3;0,0020860653
"GJC1";14;"AC100";1;0,0010860704
"GJC1";14;"AC100";2;0,0010063399
"GJC1";14;"AC100";3;0,0010860704
"GJC1";15;"MSC0";1;0,0036785001
"GJC1";15;"MSC0";2;0,0053114936
"GJC1";15;"MSC0";3;0,005348438
"GJC1";15;"MSC50";1;0,0034800731
"GJC1";15;"MSC50";2;0,0044355642
"GJC1";15;"MSC50";3;0,0038613829
"GJC1";15;"MSC100";1;0,0035286531
"GJC1";15;"MSC100";2;0,003071871
"GJC1";15;"MSC100";3;0,0038347104
"GJC1";15;"AC0";1;0,0033229186
"GJC1";15;"AC0";2;0,0021176306
"GJC1";15;"AC0";3;0,0025534556
"GJC1";15;"AC50";1;0,0008230874
"GJC1";15;"AC50";2;0,0011012314
"GJC1";15;"AC50";3;0,0014733678
"GJC1";15;"AC100";1;0,0013620544
"GJC1";15;"AC100";2;0,0014297712
"GJC1";15;"AC100";3;0,0013065699
"ENG";16;"MSC0";1;0,3486859166
"ENG";16;"MSC0";2;0,6070974422
"ENG";16;"MSC0";3;0,4061261982
"ENG";16;"MSC50";1;0,3719893785
"ENG";16;"MSC50";2;0,279967901
"ENG";16;"MSC50";3;0,2819152318
"ENG";16;"MSC100";1;0,2576230051
"ENG";16;"MSC100";2;0,2196583631
"ENG";16;"MSC100";3;0,3021492641
"ENG";16;"AC0";1;0,0226658907
"ENG";16;"AC0";2;0,0221994334
"ENG";16;"AC0";3;0,026217368
"ENG";16;"AC50";1;0,1027112893
"ENG";16;"AC50";2;0,1864249251
"ENG";16;"AC50";3;0,0938608065
"ENG";16;"AC100";1;0,0881843629
"ENG";16;"AC100";2;0,0677641794
"ENG";16;"AC100";3;0,0789272157
"ENG";17;"MSC0";1;0,2761135002
"ENG";17;"MSC0";2;0,3106438361
"ENG";17;"MSC0";3;0,2612192882
"ENG";17;"MSC50";1;0,2819152318
"ENG";17;"MSC50";2;0,3694198601
"ENG";17;"MSC50";3;2,5198420998
"ENG";17;"MSC100";1;0,2606164402
"ENG";17;"MSC100";2;0,3298769777
"ENG";17;"MSC100";3;0,3535533906
"ENG";17;"AC0";1;0,0994420605
"ENG";17;"AC0";2;0,1528300347
"ENG";17;"AC0";3;0,093428078
"ENG";17;"AC50";1;0,0656072927
"ENG";17;"AC50";2;0,1080671539
"ENG";17;"AC50";3;0,0547878576
"ENG";17;"AC100";1;0,1560413186
"ENG";17;"AC100";2;0,125
"ENG";17;"AC100";3;0,1988841209
"ENG";18;"MSC0";1;0,4579726451
"ENG";18;"MSC0";2;0,559935802
"ENG";18;"MSC0";3;1,4983070769
"ENG";18;"MSC50";1;0,2305790484
"ENG";18;"MSC50";2;0,1676277997
"ENG";18;"MSC50";3;0,2819152318
"ENG";18;"MSC100";1;0,1842836522
"ENG";18;"MSC100";2;0,1684041971
"ENG";18;"MSC100";3;0,1466043687
"ENG";18;"AC0";1;0,1687937433
"ENG";18;"AC0";2;0,1574901312
"ENG";18;"AC0";3;0,1676277997
"ENG";18;"AC50";1;0,0674517648
"ENG";18;"AC50";2;0,0921418261
"ENG";18;"AC50";3;0,0625
"ENG";18;"AC100";1;0,1088188204
"ENG";18;"AC100";2;0,1285142283
"ENG";18;"AC100";3;0,0830428634
